name	chr	start	end	TargetGene
intergenic|chr10:110641197-110641697	chr10	110641197	110641697	SMC3
genic|chr16:3022221-3022721	chr16	3022221	3022721	THOC6
genic|chr3:30693419-30693919	chr3	30693419	30693919	TGFBR2
intergenic|chr6:112282117-112282617	chr6	112282117	112282617	LAMA4
promoter|chr4:48780049-48780640	chr4	48780049	48780640	FRYL
intergenic|chr2:42827558-42828058	chr2	42827558	42828058	HAAO
intergenic|chr10:89029743-89030243	chr10	89029743	89030243	ACTA2
promoter|chr10:74826677-74827177	chr10	74826677	74827177	KAT6B
intergenic|chr10:110641201-110641701	chr10	110641201	110641701	SMC3
promoter|chr12:116277531-116278031	chr12	116277531	116278031	MED13L
intergenic|chr5:36870379-36870879	chr5	36870379	36870879	NIPBL
genic|chr3:123701991-123702491	chr3	123701991	123702491	MYLK
genic|chr1:26743979-26744479	chr1	26743979	26744479	PIGV
promoter|chr11:535317-535920	chr11	535317	535920	HRAS
genic|chr11:62542695-62543195	chr11	62542695	62543195	AHNAK
intergenic|chr1:121019775-121020275	chr1	121019775	121020275	NOTCH2
promoter|chr21:33541908-33543752	chr21	33541908	33543752	SON
genic|chr2:27264954-27265454	chr2	27264954	27265454	CAD
genic|chr4:5705847-5706347	chr4	5705847	5706347	EVC2
genic|chr14:74608828-74609328	chr14	74608828	74609328	LTBP2
intergenic|chr2:24382346-24382846	chr2	24382346	24382846	ITSN2
intergenic|chr15:66698296-66698796	chr15	66698296	66698796	SMAD6
intergenic|chr12:57124207-57124707	chr12	57124207	57124707	LRP1
genic|chr4:5705843-5706343	chr4	5705843	5706343	EVC2
genic|chr18:22174741-22175241	chr18	22174741	22175241	GATA6
intergenic|chr12:121624540-121625040	chr12	121624540	121625040	KDM2B
promoter|chr2:27217120-27217639	chr2	27217120	27217639	CAD
intergenic|chrX:154343549-154344049	chrX	154343549	154344049	FLNA
intergenic|chr15:66698283-66698783	chr15	66698283	66698783	SMAD6
promoter|chr10:88990308-88991647	chr10	88990308	88991647	ACTA2
intergenic|chr6:7540460-7540960	chr6	7540460	7540960	DSP
intergenic|chr1:120145721-120146221	chr1	120145721	120146221	NOTCH2
intergenic|chr3:46866661-46867161	chr3	46866661	46867161	MYL3
promoter|chr15:74208780-74209280	chr15	74208780	74209280	STRA6
promoter|chr11:62546610-62547117	chr11	62546610	62547117	AHNAK
intergenic|chr11:117809221-117809721	chr11	117809221	117809721	DSCAML1
intergenic|chr11:61747606-61748106	chr11	61747606	61748106	MYRF
genic|chr7:128831458-128831958	chr7	128831458	128831958	FLNC
intergenic|chr1:26786765-26787265	chr1	26786765	26787265	PIGV
promoter|chr3:30606251-30606759	chr3	30606251	30606759	TGFBR2
intergenic|chr2:24382341-24382841	chr2	24382341	24382841	ITSN2
genic|chr11:19208912-19209412	chr11	19208912	19209412	CSRP3
promoter|chr19:43755428-43755928	chr19	43755428	43755928	SMG9
promoter|chrX:71282941-71284318	chrX	71282941	71284318	NONO
genic|chr6:7542915-7543415	chr6	7542915	7543415	DSP
promoter|chr10:74826694-74827194	chr10	74826694	74827194	KAT6B
genic|chr22:23777765-23778265	chr22	23777765	23778265	SMARCB1
intergenic|chr6:121430394-121430894	chr6	121430394	121430894	GJA1
genic|chr12:6602953-6603453	chr12	6602953	6603453	CHD4
promoter|chr2:144519980-144520641	chr2	144519980	144520641	ZEB2
genic|chr4:119151135-119151635	chr4	119151135	119151635	MYOZ2
intergenic|chr2:24382343-24382843	chr2	24382343	24382843	ITSN2
genic|chr1:156118171-156118671	chr1	156118171	156118671	LMNA
genic|chr16:3022228-3022728	chr16	3022228	3022728	THOC6
intergenic|chr9:136551274-136551774	chr9	136551274	136551774	NOTCH1
intergenic|chr5:177113830-177114330	chr5	177113830	177114330	NSD1
promoter|chr6:118548012-118548526	chr6	118548012	118548526	PLN
promoter|chr10:74826681-74827181	chr10	74826681	74827181	KAT6B
promoter|chr11:62621840-62622425	chr11	62621840	62622425	B3GAT3
intergenic|chr7:5554933-5555433	chr7	5554933	5555433	ACTB
genic|chr6:157021932-157022432	chr6	157021932	157022432	ARID1B
genic|chr4:119137992-119138492	chr4	119137992	119138492	MYOZ2
intergenic|chr1:226827982-226828482	chr1	226827982	226828482	PSEN2
promoter|chr10:74826684-74827184	chr10	74826684	74827184	KAT6B
intergenic|chr12:6617633-6618133	chr12	6617633	6618133	CHD4
genic|chr6:157021933-157022433	chr6	157021933	157022433	ARID1B
genic|chr2:157874232-157874732	chr2	157874232	157874732	ACVR1
genic|chr2:157874231-157874731	chr2	157874231	157874731	ACVR1
promoter|chr6:118548012-118548524	chr6	118548012	118548524	PLN
genic|chr6:157021928-157022428	chr6	157021928	157022428	ARID1B
promoter|chr9:100098802-100099933	chr9	100098802	100099933	INVS
intergenic|chr11:111931751-111932251	chr11	111931751	111932251	CRYAB
promoter|chr1:201376775-201377275	chr1	201376775	201377275	TNNT2
genic|chr10:68156328-68156828	chr10	68156328	68156828	MYPN
promoter|chr19:43755421-43755921	chr19	43755421	43755921	SMG9
promoter|chr19:43754423-43755286	chr19	43754423	43755286	SMG9
promoter|chr19:43755424-43755924	chr19	43755424	43755924	SMG9
intergenic|chr3:46867440-46867940	chr3	46867440	46867940	MYL3
intergenic|chr11:518573-519073	chr11	518573	519073	HRAS
intergenic|chr12:57124214-57124714	chr12	57124214	57124714	LRP1
genic|chr7:21944508-21945008	chr7	21944508	21945008	DNAH11
intergenic|chr9:124774339-124774839	chr9	124774339	124774839	NR6A1
promoter|chr7:92447165-92447697	chr7	92447165	92447697	GATAD1
intergenic|chr12:57124211-57124711	chr12	57124211	57124711	LRP1
intergenic|chr16:4956078-4956578	chr16	4956078	4956578	PPL
intergenic|chr12:121590099-121590599	chr12	121590099	121590599	KDM2B
intergenic|chr9:124774332-124774832	chr9	124774332	124774832	NR6A1
promoter|chr12:57127171-57128748	chr12	57127171	57128748	LRP1
promoter|chr21:33541908-33543746	chr21	33541908	33543746	SON
promoter|chr21:33541908-33543751	chr21	33541908	33543751	SON
intergenic|chr12:57124203-57124703	chr12	57124203	57124703	LRP1
genic|chr8:116870717-116871217	chr8	116870717	116871217	RAD21
promoter|chr21:33541908-33543756	chr21	33541908	33543756	SON
intergenic|chr12:57124215-57124715	chr12	57124215	57124715	LRP1
intergenic|chr20:10674643-10675143	chr20	10674643	10675143	JAG1
genic|chr8:11707706-11708206	chr8	11707706	11708206	GATA4
genic|chr7:39951449-39951949	chr7	39951449	39951949	CDK13
intergenic|chr20:10674638-10675138	chr20	10674638	10675138	JAG1
intergenic|chr20:10674637-10675137	chr20	10674637	10675137	JAG1
genic|chr18:31506287-31506787	chr18	31506287	31506787	DSG2
intergenic|chr2:27250104-27250604	chr2	27250104	27250604	CAD
intergenic|chr19:8578644-8579144	chr19	8578644	8579144	ADAMTS10
promoter|chr6:121435326-121435829	chr6	121435326	121435829	GJA1
genic|chr1:201385222-201385722	chr1	201385222	201385722	TNNT2
intergenic|chr12:121624536-121625036	chr12	121624536	121625036	KDM2B
genic|chr12:110887912-110888412	chr12	110887912	110888412	MYL2
intergenic|chr1:156104008-156104508	chr1	156104008	156104508	LMNA
genic|chr6:118565238-118565738	chr6	118565238	118565738	PLN
genic|chr6:156851304-156851804	chr6	156851304	156851804	ARID1B
intergenic|chr20:10674646-10675146	chr20	10674646	10675146	JAG1
intergenic|chr3:46866659-46867159	chr3	46866659	46867159	MYL3
intergenic|chr5:36870378-36870878	chr5	36870378	36870878	NIPBL
genic|chr1:26789070-26789570	chr1	26789070	26789570	PIGV
intergenic|chr4:173536798-173537298	chr4	173536798	173537298	HAND2
promoter|chr4:48780049-48780638	chr4	48780049	48780638	FRYL
genic|chr6:89409403-89409903	chr6	89409403	89409903	RRAGD
intergenic|chr7:5558785-5559285	chr7	5558785	5559285	ACTB
promoter|chr12:116277528-116278028	chr12	116277528	116278028	MED13L
genic|chr9:105519621-105520121	chr9	105519621	105520121	FKTN
intergenic|chr6:112282115-112282615	chr6	112282115	112282615	LAMA4
genic|chr3:123660871-123661371	chr3	123660871	123661371	MYLK
genic|chr6:57173155-57173655	chr6	57173155	57173655	RAB23
intergenic|chr1:26692903-26693403	chr1	26692903	26693403	ARID1A
promoter|chr1:925433-925990	chr1	925433	925990	SAMD11
intergenic|chr11:117807409-117807909	chr11	117807409	117807909	DSCAML1
intergenic|chr14:50954762-50955262	chr14	50954762	50955262	PYGL
genic|chr1:26789068-26789568	chr1	26789068	26789568	PIGV
genic|chr3:30693424-30693924	chr3	30693424	30693924	TGFBR2
intergenic|chr10:110641203-110641703	chr10	110641203	110641703	SMC3
promoter|chr12:116277521-116278021	chr12	116277521	116278021	MED13L
genic|chr15:37098806-37099306	chr15	37098806	37099306	MEIS2
promoter|chr5:217467-218472	chr5	217467	218472	SDHA
intergenic|chr1:236681117-236681617	chr1	236681117	236681617	ACTN2
promoter|chr7:92447169-92447697	chr7	92447169	92447697	GATAD1
promoter|chr10:74826678-74827178	chr10	74826678	74827178	KAT6B
promoter|chr9:124771060-124771899	chr9	124771060	124771899	NR6A1
intergenic|chr5:177116779-177117279	chr5	177116779	177117279	NSD1
promoter|chr10:74826690-74827190	chr10	74826690	74827190	KAT6B
intergenic|chr5:177116778-177117278	chr5	177116778	177117278	NSD1
promoter|chr10:74826692-74827192	chr10	74826692	74827192	KAT6B
promoter|chr16:57447174-57447778	chr16	57447174	57447778	COQ9
promoter|chr22:20981719-20982518	chr22	20981719	20982518	LZTR1
promoter|chr19:43755419-43755919	chr19	43755419	43755919	SMG9
promoter|chr9:124771060-124771903	chr9	124771060	124771903	NR6A1
promoter|chr6:121435326-121435826	chr6	121435326	121435826	GJA1
intergenic|chr12:121624534-121625034	chr12	121624534	121625034	KDM2B
promoter|chr19:43755431-43755931	chr19	43755431	43755931	SMG9
intergenic|chr15:67064080-67064580	chr15	67064080	67064580	SMAD3
intergenic|chr3:142987592-142988092	chr3	142987592	142988092	U2SURP
promoter|chr6:121435326-121435831	chr6	121435326	121435831	GJA1
intergenic|chr16:3946051-3946551	chr16	3946051	3946551	CREBBP
intergenic|chr14:23446410-23446910	chr14	23446410	23446910	MYH7
promoter|chr19:43754404-43755286	chr19	43754404	43755286	SMG9
promoter|chr19:43755420-43755920	chr19	43755420	43755920	SMG9
intergenic|chr15:67064067-67064567	chr15	67064067	67064567	SMAD3
intergenic|chr1:120304297-120304797	chr1	120304297	120304797	NOTCH2
genic|chr1:156126151-156126651	chr1	156126151	156126651	LMNA
intergenic|chr5:36704114-36704614	chr5	36704114	36704614	NIPBL
intergenic|chr20:44190126-44190626	chr20	44190126	44190626	JPH2
intergenic|chr5:173265397-173265897	chr5	173265397	173265897	NKX2-5
intergenic|chr14:23446399-23446899	chr14	23446399	23446899	MYH7
intergenic|chr20:44190133-44190633	chr20	44190133	44190633	JPH2
promoter|chr3:123883525-123884025	chr3	123883525	123884025	MYLK
intergenic|chr1:226827987-226828487	chr1	226827987	226828487	PSEN2
intergenic|chr15:33292649-33293149	chr15	33292649	33293149	RYR3
genic|chr1:156118165-156118665	chr1	156118165	156118665	LMNA
intergenic|chr5:177116782-177117282	chr5	177116782	177117282	NSD1
promoter|chr19:43754435-43755286	chr19	43754435	43755286	SMG9
promoter|chr6:118548012-118548525	chr6	118548012	118548525	PLN
promoter|chr19:43755417-43755917	chr19	43755417	43755917	SMG9
intergenic|chr14:23446389-23446889	chr14	23446389	23446889	MYH7
intergenic|chr1:120304291-120304791	chr1	120304291	120304791	NOTCH2
genic|chr2:24352598-24353098	chr2	24352598	24353098	ITSN2
genic|chr9:137607165-137607665	chr9	137607165	137607665	EHMT1
intergenic|chr20:44190124-44190624	chr20	44190124	44190624	JPH2
intergenic|chr10:51052132-51052632	chr10	51052132	51052632	PRKG1
genic|chr9:137607160-137607660	chr9	137607160	137607660	EHMT1
promoter|chr19:43754425-43755286	chr19	43754425	43755286	SMG9
genic|chr1:156123649-156124149	chr1	156123649	156124149	LMNA
intergenic|chr12:121624530-121625030	chr12	121624530	121625030	KDM2B
promoter|chr11:118436078-118436739	chr11	118436078	118436739	KMT2A
intergenic|chr1:236681115-236681615	chr1	236681115	236681615	ACTN2
promoter|chr19:43754421-43755286	chr19	43754421	43755286	SMG9
intergenic|chr1:120304292-120304792	chr1	120304292	120304792	NOTCH2
genic|chr20:44183206-44183706	chr20	44183206	44183706	JPH2
genic|chr6:156780305-156780805	chr6	156780305	156780805	ARID1B
promoter|chr8:27774195-27774790	chr8	27774195	27774790	ESCO2
promoter|chr8:27774194-27774790	chr8	27774194	27774790	ESCO2
genic|chr22:20979233-20979733	chr22	20979233	20979733	LZTR1
promoter|chr14:73136184-73136684	chr14	73136184	73136684	PSEN1
promoter|chr8:27774190-27774790	chr8	27774190	27774790	ESCO2
intergenic|chr16:4956080-4956580	chr16	4956080	4956580	PPL
intergenic|chr2:219402830-219403330	chr2	219402830	219403330	DES
intergenic|chr2:219402839-219403339	chr2	219402839	219403339	DES
intergenic|chr2:219402840-219403340	chr2	219402840	219403340	DES
intergenic|chr3:38543568-38544068	chr3	38543568	38544068	SCN5A
intergenic|chr2:219402849-219403349	chr2	219402849	219403349	DES
genic|chr16:3871055-3871555	chr16	3871055	3871555	CREBBP
promoter|chr8:125091543-125092090	chr8	125091543	125092090	WASHC5
intergenic|chrX:154343543-154344043	chrX	154343543	154344043	FLNA
intergenic|chr3:38651135-38651635	chr3	38651135	38651635	SCN5A
genic|chr16:3871067-3871567	chr16	3871067	3871567	CREBBP
promoter|chrX:40096626-40097126	chrX	40096626	40097126	BCOR
genic|chr16:3871070-3871570	chr16	3871070	3871570	CREBBP
intergenic|chr11:117819039-117819539	chr11	117819039	117819539	DSCAML1
genic|chr16:3028088-3028588	chr16	3028088	3028588	THOC6
genic|chr11:62542700-62543200	chr11	62542700	62543200	AHNAK
genic|chr3:38579076-38579576	chr3	38579076	38579576	SCN5A
intergenic|chr11:117819036-117819536	chr11	117819036	117819536	DSCAML1
genic|chr12:110917376-110917876	chr12	110917376	110917876	MYL2
genic|chr6:89409406-89409906	chr6	89409406	89409906	RRAGD
promoter|chr18:22168829-22169686	chr18	22168829	22169686	GATA6
genic|chr11:62542694-62543194	chr11	62542694	62543194	AHNAK
genic|chr11:62542693-62543193	chr11	62542693	62543193	AHNAK
promoter|chr8:125091542-125092090	chr8	125091542	125092090	WASHC5
genic|chr6:118565244-118565744	chr6	118565244	118565744	PLN
genic|chr19:55160496-55160996	chr19	55160496	55160996	TNNI3
genic|chr7:35250867-35251367	chr7	35250867	35251367	TBX20
intergenic|chr3:38533274-38533774	chr3	38533274	38533774	SCN5A
intergenic|chr3:38533269-38533769	chr3	38533269	38533769	SCN5A
genic|chr10:119655659-119656159	chr10	119655659	119656159	BAG3
intergenic|chr3:38533263-38533763	chr3	38533263	38533763	SCN5A
genic|chr7:123657238-123657738	chr7	123657238	123657738	LMOD2
intergenic|chrX:40099003-40099503	chrX	40099003	40099503	BCOR
intergenic|chr3:38533261-38533761	chr3	38533261	38533761	SCN5A
intergenic|chr3:38533259-38533759	chr3	38533259	38533759	SCN5A
genic|chr3:9399714-9400214	chr3	9399714	9400214	SETD5
genic|chr7:39951442-39951942	chr7	39951442	39951942	CDK13
genic|chr7:123656506-123657006	chr7	123656506	123657006	LMOD2
promoter|chr8:27774197-27774790	chr8	27774197	27774790	ESCO2
intergenic|chr6:7537726-7538226	chr6	7537726	7538226	DSP
genic|chrX:154369391-154369891	chrX	154369391	154369891	FLNA
genic|chrX:154369378-154369878	chrX	154369378	154369878	FLNA
intergenic|chr11:118435321-118435821	chr11	118435321	118435821	KMT2A
genic|chrX:154369373-154369873	chrX	154369373	154369873	FLNA
genic|chr22:20979218-20979718	chr22	20979218	20979718	LZTR1
intergenic|chr1:121019781-121020281	chr1	121019781	121020281	NOTCH2
genic|chrX:154369372-154369872	chrX	154369372	154369872	FLNA
genic|chr3:9399723-9400223	chr3	9399723	9400223	SETD5
intergenic|chr3:38543535-38544035	chr3	38543535	38544035	SCN5A
intergenic|chr11:118435334-118435834	chr11	118435334	118435834	KMT2A
intergenic|chr11:118435341-118435841	chr11	118435341	118435841	KMT2A
promoter|chr8:27774203-27774790	chr8	27774203	27774790	ESCO2
intergenic|chr22:36028845-36029345	chr22	36028845	36029345	RBFOX2
genic|chr3:9399729-9400229	chr3	9399729	9400229	SETD5
intergenic|chr20:10674640-10675140	chr20	10674640	10675140	JAG1
genic|chr6:118508936-118509436	chr6	118508936	118509436	PLN
intergenic|chrX:154343560-154344060	chrX	154343560	154344060	FLNA
promoter|chr16:3879831-3880370	chr16	3879831	3880370	CREBBP
promoter|chr2:178807173-178807717	chr2	178807173	178807717	TTN
genic|chr1:26723269-26723769	chr1	26723269	26723769	PIGV
intergenic|chr2:219430693-219431193	chr2	219430693	219431193	DES
genic|chr7:21767230-21767730	chr7	21767230	21767730	DNAH11
promoter|chr2:178806497-178806997	chr2	178806497	178806997	TTN
intergenic|chr1:920983-921483	chr1	920983	921483	SAMD11
promoter|chr2:178806495-178806995	chr2	178806495	178806995	TTN
intergenic|chr15:37110123-37110623	chr15	37110123	37110623	MEIS2
promoter|chr11:111912485-111913463	chr11	111912485	111913463	CRYAB
intergenic|chr12:6617641-6618141	chr12	6617641	6618141	CHD4
genic|chr6:156795758-156796258	chr6	156795758	156796258	ARID1B
genic|chr19:55141163-55141663	chr19	55141163	55141663	TNNI3
intergenic|chr1:120592904-120593404	chr1	120592904	120593404	NOTCH2
intergenic|chrX:154341348-154341848	chrX	154341348	154341848	FLNA
genic|chr1:26698043-26698543	chr1	26698043	26698543	ARID1A
genic|chr1:26698034-26698534	chr1	26698034	26698534	ARID1A
genic|chr1:26698032-26698532	chr1	26698032	26698532	ARID1A
intergenic|chr5:173248446-173248946	chr5	173248446	173248946	NKX2-5
genic|chr1:26698014-26698514	chr1	26698014	26698514	PIGV
genic|chr1:77978063-77978563	chr1	77978063	77978563	NEXN
genic|chr7:128831463-128831963	chr7	128831463	128831963	FLNC
intergenic|chr2:24382348-24382848	chr2	24382348	24382848	ITSN2
intergenic|chr2:24382355-24382855	chr2	24382355	24382855	ITSN2
genic|chr12:6602954-6603454	chr12	6602954	6603454	CHD4
genic|chr2:27271551-27272051	chr2	27271551	27272051	CAD
promoter|chr2:73926569-73927075	chr2	73926569	73927075	DGUOK
genic|chr10:68156325-68156825	chr10	68156325	68156825	MYPN
genic|chr1:26789067-26789567	chr1	26789067	26789567	PIGV
intergenic|chr14:50954764-50955264	chr14	50954764	50955264	PYGL
promoter|chr10:86668182-86668918	chr10	86668182	86668918	LDB3
genic|chr1:26789063-26789563	chr1	26789063	26789563	PIGV
genic|chr3:9932711-9933211	chr3	9932711	9933211	CRELD1
genic|chr16:3022230-3022730	chr16	3022230	3022730	THOC6
genic|chr10:119658210-119658710	chr10	119658210	119658710	BAG3
genic|chr1:26789056-26789556	chr1	26789056	26789556	PIGV
intergenic|chr11:117819031-117819531	chr11	117819031	117819531	DSCAML1
intergenic|chr6:112282103-112282603	chr6	112282103	112282603	LAMA4
intergenic|chr3:38651141-38651641	chr3	38651141	38651641	SCN5A
intergenic|chr3:38651145-38651645	chr3	38651145	38651645	SCN5A
intergenic|chr17:57995346-57995846	chr17	57995346	57995846	VEZF1
intergenic|chr6:121430397-121430897	chr6	121430397	121430897	GJA1
intergenic|chr7:128828143-128828643	chr7	128828143	128828643	FLNC
genic|chr16:3022218-3022718	chr16	3022218	3022718	THOC6
genic|chr3:123702000-123702500	chr3	123702000	123702500	MYLK
genic|chr1:26753129-26753629	chr1	26753129	26753629	PIGV
genic|chr11:62539162-62539662	chr11	62539162	62539662	AHNAK
genic|chr1:26753124-26753624	chr1	26753124	26753624	PIGV
genic|chr10:86661574-86662074	chr10	86661574	86662074	LDB3
genic|chr1:26743987-26744487	chr1	26743987	26744487	PIGV
genic|chr12:57133821-57134321	chr12	57133821	57134321	LRP1
genic|chr11:62539154-62539654	chr11	62539154	62539654	AHNAK
genic|chr11:62539153-62539653	chr11	62539153	62539653	AHNAK
intergenic|chr6:121430402-121430902	chr6	121430402	121430902	GJA1
genic|chr15:63044588-63045088	chr15	63044588	63045088	TPM1
intergenic|chr12:6617656-6618156	chr12	6617656	6618156	CHD4
intergenic|chr1:920997-921497	chr1	920997	921497	SAMD11
genic|chr1:26723527-26724027	chr1	26723527	26724027	PIGV
intergenic|chr2:219406806-219407306	chr2	219406806	219407306	DES
intergenic|chr5:173283672-173284172	chr5	173283672	173284172	NKX2-5
intergenic|chr3:46867435-46867935	chr3	46867435	46867935	MYL3
genic|chr10:110501158-110501658	chr10	110501158	110501658	SMC3
intergenic|chr5:177113822-177114322	chr5	177113822	177114322	NSD1
intergenic|chr1:120145718-120146218	chr1	120145718	120146218	NOTCH2
genic|chr4:5705816-5706316	chr4	5705816	5706316	EVC2
intergenic|chr10:110637368-110637868	chr10	110637368	110637868	RBM20
genic|chr4:5705827-5706327	chr4	5705827	5706327	EVC2
intergenic|chr1:42462913-42463413	chr1	42462913	42463413	PPCS
intergenic|chr9:124771940-124772440	chr9	124771940	124772440	NR6A1
genic|chr14:74608829-74609329	chr14	74608829	74609329	LTBP2
genic|chr14:74608826-74609326	chr14	74608826	74609326	LTBP2
genic|chr4:119151138-119151638	chr4	119151138	119151638	MYOZ2
intergenic|chr1:120145724-120146224	chr1	120145724	120146224	NOTCH2
intergenic|chr1:26692905-26693405	chr1	26692905	26693405	ARID1A
promoter|chr12:116277532-116278032	chr12	116277532	116278032	MED13L
genic|chr2:144461203-144461703	chr2	144461203	144461703	ZEB2
intergenic|chr9:124774333-124774833	chr9	124774333	124774833	NR6A1
intergenic|chr10:110636814-110637314	chr10	110636814	110637314	SMC3
intergenic|chr8:11701163-11701663	chr8	11701163	11701663	GATA4
intergenic|chr3:46867441-46867941	chr3	46867441	46867941	MYL3
promoter|chr11:62546610-62547119	chr11	62546610	62547119	AHNAK
intergenic|chr3:46866662-46867162	chr3	46866662	46867162	MYL3
intergenic|chr9:136551272-136551772	chr9	136551272	136551772	NOTCH1
intergenic|chr1:8848785-8849285	chr1	8848785	8849285	RERE
intergenic|chr1:8848773-8849273	chr1	8848773	8849273	RERE
intergenic|chr14:23442604-23443104	chr14	23442604	23443104	MYH7
promoter|chr7:152435755-152436990	chr7	152435755	152436990	KMT2C
genic|chr2:157874234-157874734	chr2	157874234	157874734	ACVR1
genic|chr2:157874235-157874735	chr2	157874235	157874735	ACVR1
intergenic|chr12:57124205-57124705	chr12	57124205	57124705	LRP1
intergenic|chr9:124774331-124774831	chr9	124774331	124774831	NR6A1
genic|chr15:84845500-84846000	chr15	84845500	84846000	ALPK3
intergenic|chr14:23442595-23443095	chr14	23442595	23443095	MYH7
intergenic|chr1:120145712-120146212	chr1	120145712	120146212	NOTCH2
intergenic|chr5:177113827-177114327	chr5	177113827	177114327	NSD1
intergenic|chr10:110634676-110635176	chr10	110634676	110635176	RBM20
genic|chr1:201361591-201362091	chr1	201361591	201362091	TNNT2
intergenic|chr4:173509386-173509886	chr4	173509386	173509886	HAND2
promoter|chr7:5529670-5530170	chr7	5529670	5530170	ACTB
intergenic|chr9:124774330-124774830	chr9	124774330	124774830	NR6A1
intergenic|chr9:136567931-136568431	chr9	136567931	136568431	NOTCH1
genic|chr15:84845506-84846006	chr15	84845506	84846006	ALPK3
intergenic|chr1:120176277-120176777	chr1	120176277	120176777	NOTCH2
promoter|chr7:152435755-152436975	chr7	152435755	152436975	KMT2C
intergenic|chr10:110636790-110637290	chr10	110636790	110637290	SMC3
intergenic|chr12:57124219-57124719	chr12	57124219	57124719	LRP1
intergenic|chr10:110636787-110637287	chr10	110636787	110637287	SMC3
intergenic|chr9:124774340-124774840	chr9	124774340	124774840	NR6A1
intergenic|chr4:173505796-173506296	chr4	173505796	173506296	HAND2
genic|chr15:84840756-84841256	chr15	84840756	84841256	ALPK3
intergenic|chr1:120176269-120176769	chr1	120176269	120176769	NOTCH2
intergenic|chr4:173505798-173506298	chr4	173505798	173506298	HAND2
genic|chr10:110501166-110501666	chr10	110501166	110501666	SMC3
intergenic|chr1:120176268-120176768	chr1	120176268	120176768	NOTCH2
intergenic|chr4:173509365-173509865	chr4	173509365	173509865	HAND2
intergenic|chr1:120176267-120176767	chr1	120176267	120176767	NOTCH2
genic|chr6:157021926-157022426	chr6	157021926	157022426	ARID1B
genic|chr4:5705844-5706344	chr4	5705844	5706344	EVC2
intergenic|chr5:36870363-36870863	chr5	36870363	36870863	NIPBL
intergenic|chr1:42462891-42463391	chr1	42462891	42463391	PPCS
genic|chr6:157021927-157022427	chr6	157021927	157022427	ARID1B
intergenic|chr15:66698280-66698780	chr15	66698280	66698780	SMAD6
